ENDERECO_ID	lat	long
MGBHE_0024	-19.8525	-44.010222
PEAFO_0002	-8.450111	-41.036944
PABLM_0001	-1.414333	-48.470333
RJRJO_8590	-22.349556	-42.225806
RJRJO_8659	-22.877972	-43.270917
RJRJO_3464	-22.9845	-43.359306
RJRJO_0039	-22.997778	-43.361417
RJRJO_0001	-22.901694	-43.219306
RJRJO_0495	-22.896	-43.250083
TOAIO_0003	-5.427778	-47.860583
MTABO_0003	-14.0262	-52.1722
MTCBA_0058	-15.60525	-56.105389
DFTAGA0008	-15.858056	-48.038611
DFBSA_0539	-15.788639	-47.91325
DFBSA_0107	-15.788639	-47.91325
DFBSA_0052	-15.776722	-47.9125
SPSJC_0091	-23.200917	-45.879833
SPAIA_0011	-23.047778	-46.567222
SPCAS_0089	-22.815833	-47.059167
MAACD_0008	-4.936944	-47.494444
PAAIU_0056	-1.396972	-48.386528
ESABK_0002	-18.953583	-40.717806
ESABK_0001	-18.977556	-40.736
MAACD_0005	-4.947778	-47.476389
MGAFN_0002	-21.448861	-45.948889
ACRBO_0111	-9.98241	-67.83875
PAAFGO0001	-4.954167	-48.411944
MSNDI_0006	-22.204417	-53.403056
ESAFC_0003	-20.007222	-41.02925
MAACD_0010	-4.583056	-47.135583
MAACD_0011	-4.709833	-47.295194
MGAGF_0004	-17.143167	-41.002472
SCABVT0005	-27.380611	-51.936917
BAABR_0005	-13.312444	-41.650583
ESAFC_0005	-20.020056	-41.000583
GOSADD0009	-15.944306	-48.2585
PRAOA_0001	-23.877508	-53.88912
SPCRO_0012	-22.582333	-44.949583
SPADY_0002	-22.091744	-47.665253
SPAHM_0004	-22.811694	-48.143778
SPAVI_0003	-22.156611	-49.332222
MAACD_0007	-4.947639	-47.460028
SPAIA_0016	-23.114417	-46.573278
SPAIA_0015	-23.1125	-46.571389
ACRBO_0056	-9.985861	-67.848278
GOAEU_0002	-17.523917	-50.490639
RJRJO_3257	-22.911389	-43.173333
CEFLA_0048	-3.779167	-38.540833
SEAJU_0008	-10.913889	-37.049722
MGULA_0046	-18.923056	-48.288611
MGBHE_0220	-19.919056	-43.93725
ACRBO_0026	-9.953583	-67.823611
SPARC_0010	-21.196114	-50.427786
GOACG_0017	-16.784611	-49.272222
PAAIU_0058	-1.366889	-48.375694
BAARG_0002	-12.46425	-38.690972
MGBHE_0215	-19.918417	-43.939111
CEACA_0001	-4.568889	-37.773917
PEOLD_0012	-7.998056	-34.898056
PBAGG_0001	-7.036111	-35.638056
PBJPA_0012	-7.133361	-34.880306
PEAGP_0001	-8.716389	-35.517778
MGAFN_0001	-21.428583	-45.948972
MGARI_0001	-18.654361	-48.189833
RNACU_0003	-5.586944	-36.981778
SCCCO_0002	-27.089002	-52.617077
SCFNS_0009	-27.587669	-48.551017
GOABI_0007	-16.062083	-48.857528
